pais,cantidad_sedes,secciones_promedio,flujo migratorio neto
Brazil,11,3.6,8871.0
United States,9,7.5,-122872.0
Uruguay,8,4.0,94023.0
Bolivia,7,8.0,209601.0
Chile,7,14.0,173391.0
Spain,7,5.333333333333333,53281.0
China,6,5.666666666666667,3832.0
Canada,4,3.5,-12391.0
Germany,4,7.0,5308.0
Italy,4,6.5,203844.0
Paraguay,4,0.0,267404.0
Mexico,3,5.0,-2954.0
Australia,2,4.0,-10023.0
Belgium,2,5.5,406.0
Ecuador,2,5.0,-148.0
France,2,9.0,-10667.0
India,2,3.5,337.0
Israel,2,2.5,-35519.0
Peru,2,7.0,87596.0
South Africa,2,4.0,0.0
Switzerland,2,5.0,461.0
Turkey,2,4.0,1392.0
United Kingdom,2,12.0,-7815.0
Algeria,1,6.0,0.0
Angola,1,6.0,0.0
Argentina,1,0.0,0.0
Armenia,1,3.0,1497.0
Austria,1,11.0,2115.0
Azerbaijan,1,5.0,2.0
Bangladesh,1,0.0,0.0
Barbados,1,7.0,0.0
Bulgaria,1,0.0,608.0
Colombia,1,7.0,1610.0
Costa Rica,1,2.0,-745.0
Cuba,1,5.0,2314.0
Czech Republic,1,5.0,1181.0
Denmark,1,4.0,-573.0
Dominican Republic,1,3.0,-1697.0
"Egypt, Arab Rep.",1,6.0,-64.0
El Salvador,1,5.0,0.0
Ethiopia,1,4.0,0.0
Finland,1,2.0,0.0
Greece,1,4.0,2159.0
Guatemala,1,3.0,-48.0
Guyana,1,0.0,0.0
Haiti,1,7.0,0.0
Honduras,1,4.0,0.0
Hungary,1,5.0,1484.0
Indonesia,1,5.0,0.0
"Iran, Islamic Rep.",1,1.0,276.0
Ireland,1,4.0,0.0
Jamaica,1,3.0,0.0
Japan,1,6.0,2287.0
Kenya,1,6.0,0.0
"Korea, Rep.",1,5.0,0.0
Kuwait,1,5.0,0.0
Lebanon,1,5.0,678.0
Libya,1,2.0,0.0
Malaysia,1,3.0,0.0
Morocco,1,5.0,0.0
Mozambique,1,8.0,0.0
Netherlands,1,4.0,-1203.0
New Zealand,1,3.0,0.0
Nicaragua,1,1.0,0.0
Nigeria,1,6.0,0.0
Norway,1,3.0,0.0
Pakistan,1,2.0,0.0
Panama,1,4.0,-525.0
Philippines,1,4.0,0.0
Poland,1,3.0,14279.0
Portugal,1,5.0,7925.0
Qatar,1,5.0,0.0
Romania,1,2.0,2567.0
Russian Federation,1,13.0,2349.0
SANTA SEDE,1,6.0,0.0
Saudi Arabia,1,0.0,0.0
Senegal,1,0.0,0.0
Serbia,1,4.0,0.0
Singapore,1,4.0,0.0
St. Lucia,1,0.0,0.0
Suriname,1,6.0,0.0
Sweden,1,4.0,-1927.0
Syrian Arab Republic,1,1.0,2573.0
Thailand,1,6.0,0.0
Trinidad and Tobago,1,1.0,0.0
Tunisia,1,7.0,0.0
Ukraine,1,4.0,9498.0
United Arab Emirates,1,3.0,0.0
"Venezuela, RB",1,5.0,-5665.0
Vietnam,1,4.0,0.0
West Bank and Gaza,1,0.0,0.0
